a52dec 0.7.4-6
imagemagick 6.7.6.2-1
imlib 1.9.15-11
imlib2 1.4.5-2
inetutils 1.9.1-1
initscripts 2012.03.2-1
inputproto 2.2-1
intltool 0.50.2-1
iproute2 3.2.0-3
iptables 1.4.12.2-1
iputils 20101006-2
isdn4k-utils 3.20-1
isl 0.09-1
iso-codes 3.34-1
ispell 3.3.02-5
jack 0.121.3-5
jasper 1.900.1-7
jfsutils 1.1.15-3
js 1.8.5-3
json-c 0.9-1
json-glib 0.14.2-1
kbd 1.15.3-2
kbproto 1.0.6-1
kcm_touchpad 0.3.1-1
kdebase-runtime 4.8.2-1
kdelibs 4.8.2-1
kdelibs3 3.5.10-13
kdemod3-amarok 1.4.10-2
kdemod3-kdesdk-base 3.5.10-1
kdemod3-kdestyle-polyester 1.0.4-1
kdemod3-kdewebdev-base 3.5.10-2
kdemod3-kdewebdev-kommander 3.5.10-2
kdemod3-qca-qt3 1.0-1
kdemod3-qca-tls 1.0-1
kdevplatform 1.3.0-1
keyutils 1.5.5-1
kmod 7-2
krb5 1.10.1-2
ladspa 1.13-3
lal 1.1-2
lame 3.99.5-1
lapack 3.4.0-1
laptop-mode-tools 1.60-2
lcms 1.19-2
lcms2 2.3-2
leptonica 1.68-3
less 444-3
lesstif 0.95.2-4
libao 1.1.0-2
libarchive 3.0.4-1
libart-lgpl 2.3.21-2
libass 0.10.0-3
libassuan 2.0.3-1
libasyncns 0.8-4
libatasmart 0.18-1
libavc1394 0.5.4-1
libbeagle 0.3.9-2
libbluray 0.2.1-1
libbonobo 2.32.1-2
libbonoboui 2.24.5-2
libbtctl 0.11.1-1
libburn 1.2.2-1
libcaca 0.99.beta17-2
libcanberra 0.28-2
libcanberra-pulse 0.28-2
libcap 2.22-2
libcap-ng 0.6.6-1
libcaptury 158-1
libcdaudio 0.99.12-6
libcddb 1.3.2-3
libcdio 0.83-1
libcl 1.1-2
libcompizconfig 0.8.8-2
libcroco 0.6.4-1
libcups 1.5.2-1
libdaemon 0.14-2
libdatrie 0.2.5-1
libdbusmenu-qt 0.9.2-1
libdc1394 2.1.3-2
libdca 0.0.5-3
libdesktop-agnostic 0.3.92-1
libdmx 1.1.2-1
libdownload 1.3-3
libdrm 2.4.33-1
libdv 1.0.0-4
libdvbpsi 0.2.2-1
libdvdcss 1.2.11-1
libdvdnav 4.2.0-2
libdvdread 4.2.0-1
libebml 1.2.2-2
libedit 20120311_3.0-1
libepc 0.4.4-1
libevent 2.0.18-1
libexif 0.6.20-2
libfetch 2.33-3
libffi 3.0.10-1
libfontenc 1.1.1-1
libftdi 0.20-1
libgail-gnome 1.20.4-1
libgcrypt 1.5.0-1
libgda 5.0.2-1
libgdata 0.10.1-1
libgdiplus 2.10-2
libgdu 3.0.2-2
libgee 0.6.4-1
libggz 0.0.14.1-3
libgksu 2.0.12-4
libglade 2.6.4-3
libglademm 2.6.7-2
libgme 0.6.0-2
libgnome 2.32.1-3
libgnome-data 2.32.1-3
libgnome-desktop-sharp 2.26.0-8
libgnome-keyring 3.2.2-1
libgnome-media-profiles 3.0.0-3
libgnome-sharp 2.24.2-2
libgnomecanvas 2.30.3-2
libgnomecups 0.2.3-9
libgnomekbd 3.2.0-1
libgnomeprint 2.18.8-3
libgnomeprintui 2.18.6-1
libgnomeui 2.24.5-1
libgpg-error 1.10-1
libgphoto2 2.4.14-1
libgpod 0.8.2-4
libgraphite 2.3.1-2
libgsf 1.14.22-2
libgssglue 0.3-1
libgtkhtml 2.11.1-4
libgtop 2.28.4-1
libgusb 0.1.3-1
libgweather 3.2.1-1
libical 0.46-2
libice 1.0.8-1
libid3tag 0.15.1b-7
libidl2 0.8.14-2
libidn 1.24-1
libiec61883 1.2.0-3
libieee1284 0.2.11-4
libimobiledevice 1.1.1-2
libindi 0.8-3
libiodbc 3.52.8-1
libirman 0.4.5-3
libisofs 1.2.2-1
libjpeg-turbo 1.2.0-1
libkate 0.4.1-3
libksba 1.2.0-1
liblastfm 0.3.3-3
liblbxutil 1.0.1-1
libldap 2.4.30-1
liblrdf 0.4.0-9
libltdl 2.4.2-5
libmad 0.15.1b-6
libmatroska 1.3.0-2
libmms 0.6.2-1
libmng 1.0.10-4
libmodplug 0.8.8.4-1
libmp3splt 0.7.1-1
libmp4v2 1.9.1-2
libmpc 0.9-2
libmpcdec 1.2.6-3
libmpd 11.8.17-1
libmpeg2 0.5.1-3
libmspack 0.3alpha-1
libmtp 1.1.3-1
libmysqlclient 5.5.23-1
libnice 0.1.1-1
libnl 3.2.7-1
libnotify 0.7.5-1
libnova 0.14.0-1
liboauth 0.9.6-1
libofa 0.9.3-4
libogg 1.3.0-1
liboil 0.3.17-2
libotf 0.9.12-2
libpcap 1.2.1-2
libpciaccess 0.13.1-1
libpeas 1.2.0-1
libpipeline 1.2.0-2
libplist 1.4-1
libpng 1.5.10-1
libpng12 1.2.46-2
libproxy 0.4.7-1
libpulse 1.1-2
libpurple 2.10.3-1
libqzeitgeist 0.8.0-2
libraw1394 2.0.7-2
libreoffice-calc 3.5.1-1
libreoffice-common 3.5.1-1
libreoffice-en-US 3.5.1-1
libreoffice-extension-ct2n 3.4.4-4
libreoffice-extension-diagram 3.4.4-4
libreoffice-extension-hunart 3.4.4-4
libreoffice-extension-nlpsolver 3.4.4-4
libreoffice-extension-numbertext 3.4.4-4
libreoffice-extension-oooblogger 3.4.4-4
libreoffice-extension-pdfimport 3.5.1-1
libreoffice-extension-presentation-minimizer 3.5.1-1
libreoffice-extension-presenter-screen 3.5.1-1
libreoffice-extension-report-builder 3.5.1-1
libreoffice-extension-typo 3.4.4-4
libreoffice-extension-watch-window 3.4.4-4
libreoffice-extension-wiki-publisher 3.4.4-4
libreoffice-gnome 3.5.1-1
libreoffice-impress 3.5.1-1
libreoffice-sdk 3.5.1-1
libreoffice-writer 3.5.1-1
librpcsecgss 0.19-7
librsvg 2.34.2-3
libsamplerate 0.1.8-1
libsasl 2.1.23-9
libsexy 0.1.11-4
libsexymm 0.1.9-3
libshout 1:2.3.0-1
libsidplay 1.36.59-5
libsigc++ 2.2.10-2
libsigsegv 2.10-1
libsm 1.2.1-1
libsmbios 2.2.28-1
libsndfile 1.0.25-2
libsocialweb 0.25.20-0
libsoup 2.36.1-1
libsoup-gnome 2.36.1-1
libspectre 0.2.6-3
libssh 0.5.2-1
libssh2 1.4.0-1
libstdc++5 3.3.6-4
libtasn1 2.12-1
libtextcat 2.2-9
libthai 0.1.17-1
libtheora 1.1.1-2
libtiff 4.0.1-1
libtiger 0.3.4-3
libtirpc 0.2.2-2
libtool 2.4.2-5
libtracker 0.6.95-1
libtracker-sparql 0.12.10-1
libunique 1.1.6-5
libunique3 3.0.2-2
libupnp 1.6.17-1
libusb 1.0.8-2
libusb-compat 0.1.3-2
libva 1.0.15-1
libvdpau 0.4.1-2
libvisual 0.4.0-4
libvncserver 0.9.8.2-1
libvorbis 1.3.3-1
libvpx 1.0.0-1
libwbclient 3.6.4-1
libwebkit 1.6.3-1
libwebkit3 1.6.3-1
libwmf 0.2.8.4-9
libwnck 2.30.7-1
libwnck3 3.2.1-1
libwpd 0.9.2-2
libwps 0.2.2-2
libx11 1.4.99.901-1
libx86 1.1-3
libxau 1.0.7-1
libxaw 1.0.10-1
libxcb 1.8.1-1
libxcomposite 0.4.3-2
libxcursor 1.1.13-1
libxdamage 1.1.3-2
libxdmcp 1.1.1-1
libxevie 1.0.3-2
libxext 1.3.1-1
libxfce4menu 4.6.2-2
libxfce4ui 4.8.1-1
libxfce4util 4.8.2-1
libxfcegui4 4.8.1-4
libxfixes 5.0-2
libxfont 1.4.5-1
libxfontcache 1.0.5-1
libxft 2.3.0-2
libxi 1.6.0-1
libxinerama 1.1.2-1
libxkbfile 1.0.8-1
libxkbui 1.0.2-4
libxklavier 5.1-2
libxml++ 2.34.2-1
libxml2 2.7.8-2
libxmu 1.1.1-1
libxp 1.0.1-3
libxpm 3.5.10-1
libxrandr 1.3.2-2
libxrender 0.9.7-1
libxres 1.0.6-1
libxslt 1.1.26-3
libxss 1.2.2-1
libxt 1.1.3-1
libxtrap 1.0.0-2
libxtst 1.2.1-1
libxv 1.0.7-1
libxvmc 1.0.7-1
libxxf86dga 1.1.3-1
libxxf86misc 1.0.2-1
libxxf86vm 1.1.2-1
libyaml 0.1.4-2
libzip 0.10.1-1
licenses 2.9-1
lightdm 1.0.6-2
link-grammar 4.7.4-2
linux 3.3.2-1
linux-api-headers 3.3-1
linux-atm 2.5.2-1
linux-firmware 20120227-1
linux-headers 3.3.2-1
linux-lts 3.0.27-1
lirc-utils 1:0.9.0-15
live-media 2012.04.04-1
lm_sensors 3.3.2-2
logrotate 3.8.1-1
loudmouth 1.4.3-3
lpsolve 5.5.2.0-2
lsof 4.85-1
lua 5.1.5-1
lucene 2.9.4-3
lvm2 2.02.95-1
lzo 1.08-7
lzo2 2.06-1
m17n-db 1.6.3-1
m17n-lib 1.6.3-1
m4 1.4.16-2
make 3.82-4
man-db 2.6.1-1
man-pages 3.38-1
mcpp 2.7.2-3
mdadm 3.2.3-1
mencoder 34799-1
mesa 8.0.2-1
mesa-demos 8.0.1-2
metacity 2.34.1-2
mime-types 8-1
mirage 0.9.5.2-1
mjpegtools 2.0.0-2
mkinitcpio 0.8.7-2
mkinitcpio-busybox 1.19.4-2
mkvtoolnix-cli 5.5.0-1
mlocate 0.25-1
mobile-broadband-provider-info 20110511-1
mod_python 3.3.1-5
mono 2.10.8-1
mono-addins 0.6.2-2
mousepad 0.2.16-2
mozilla-common 1.4-3
mp3splt 2.4.1-1
mpd 0.16.8-2
mpfr 3.1.0.p7-1
mpg123 1.13.7-1
mplayer 34799-1
mtdev 1.1.2-1
mtools 4.0.17-2
mtpaint 3.40-2
musicbrainz 2.1.5-5
mutagen 1.20-4
mutter 3.2.2-2
mx 1.4.3-1
mysql 5.5.23-1
mysql-clients 5.5.23-1
mysql-python 1.2.3-3
mysql-ruby 2.8.2-2
nano 2.2.6-2
nautilus 3.2.1-1
nautilus-actions 3.1.5-1
ncurses 5.9-3
ndesk-dbus 0.6.0-3
ndesk-dbus-glib 0.4.1-3
neon 0.29.6-4
net-snmp 5.7.1-2
net-tools 1.60.20110819cvs-3
netcfg 2.6.8-1
netkit-bsd-finger 0.17-7
netselect 0.3-2
nettle 2.4-1
network-manager-applet 0.9.2.0-1
networkmanager 0.9.2.0-3
nfs-utils 1.2.5-2
nfsidmap 0.24-3
nickle 2.70-2
normalize 0.7.7-6
notification-daemon 0.7.4-1
nrg2iso 0.4-8
nspr 4.9-1
nss 3.13.4-1
nss-mdns 0.10-5
ntfs-3g 2012.1.15-2
ntfsprogs 2012.1.15-2
ntp 4.2.6.p5-6
ntrack 1:13-2
nvidia 295.40-2
nvidia-utils 295.40-1
nvu 1.0-2
obex-data-server 0.4.6-2
obexd-client 0.44-1
obexfs 0.12-3
obexftp 0.23-5
openbabel 2.3.1-1
opencdk 0.6.6-2
opencl-nvidia 295.40-1
opencore-amr 0.1.3-1
openexr 1.7.0-2
openjdk6 6.b24_1.11.1-3
openjpeg 1.5.0-1
openldap 2.4.30-1
openobex 1.5-3
openslp 1.2.1-4
openssh 5.9p1-8
openssl 1.0.1-2
openswan 2.4.14-1
openvpn 2.2.2-1
orbit2 2.14.19-2
orc 0.4.16-1
oxygen-icons 4.8.2-1
